molecule_chembl_id,mol,IC50,Class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4108431,COCC[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,650.0,active,511.8100000000001,3.752200000000001,2.0,7.0,
CHEMBL4110279,C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,160.0,active,449.3150000000001,2.0593999999999997,3.0,8.0,
CHEMBL4108635,C[C@]1(c2nc(NC(=O)c3ncc(OCC(F)(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,590.0,active,479.3410000000002,1.9817,3.0,9.0,
CHEMBL4114995,C[C@]1(c2nc(NC(=O)c3ncc(OCCCF)nc3N)ccc2F)N=C(N)OCC1(F)F,1200.0,intermediate,457.38800000000015,1.7790000000000001,3.0,9.0,
CHEMBL4111654,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(C)c1,270.0,active,409.36800000000017,2.380420000000001,2.0,7.0,
CHEMBL4110172,C[C@]1(c2nc(NC(=O)c3ncc(OCF)nc3N)ccc2F)N=C(N)OCC1(F)F,110.0,active,429.3340000000001,1.3463999999999998,3.0,9.0,
CHEMBL4115271,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,120.0,active,455.3970000000002,1.0658000000000003,3.0,10.0,
CHEMBL4107314,C[C@]1(c2nc(NC(=O)c3ncc(C#CCO)cc3N)ccc2F)N=C(N)OCC1(F)F,240.0,active,434.3780000000001,0.9893999999999998,4.0,8.0,
CHEMBL4109969,C[C@]1(c2nc(NC(=O)c3ncc(F)cc3N)ccc2F)N=C(N)OCC1(F)F,330.0,active,398.3200000000001,1.7847000000000002,3.0,7.0,
CHEMBL4115329,C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3N)ccc2F)N=C(N)OCC1(F)F,60.0,active,414.77500000000015,2.2990000000000004,3.0,7.0,
CHEMBL4106556,C[C@]1(c2nc(NC(=O)c3ncccc3Cl)ccc2F)N=C(N)OCC1(F)F,360.0,active,399.76000000000016,2.7168,2.0,6.0,
CHEMBL4107875,COCC#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(Cl)c1,83.0,active,467.83500000000015,2.7147000000000006,2.0,7.0,
CHEMBL4112705,C[C@]1(c2nc(NC(=O)c3ncc(C(F)F)nc3N)ccc2F)N=C(N)OCC1(F)F,190.0,active,431.3250000000001,1.9781999999999997,3.0,8.0,
CHEMBL4114553,C[C@]1(c2nc(NC(=O)c3ncc(OCCCl)nc3N)ccc2F)N=C(N)OCC1(F)F,8700.0,intermediate,459.81600000000014,1.6582000000000001,3.0,9.0,
CHEMBL4115141,C[C@]1(c2nc(NC(=O)c3ncc(OCC(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,240.0,active,479.7930000000002,3.3607000000000014,2.0,7.0,
CHEMBL4108335,C[C@]1(c2nc(NC(=O)c3ncc(OCCF)nc3N)ccc2F)N=C(N)OCC1(F)F,570.0,active,443.3610000000001,1.3888999999999998,3.0,9.0,
CHEMBL4111699,C[C@]1(c2nc(NC(=O)c3ncc(OCF)cc3Cl)ccc2F)N=C(N)OCC1(F)F,110.0,active,447.7760000000001,3.0226000000000006,2.0,7.0,
